MonsterId,IntentionIndex,PreviewCertainty,AttackMode,AttackRange,MoveBudget,ActionBudget,ActionOrder,TargetPolicy,AreaRadius,PreviewDirection
3001,0,UnknownNumbers,AdjacentSingle,1,3,3,MoveThenAttack,Nearest,0,
3001,1,KnownDamageUnknownRange,AdjacentSingle,1,2,0,MoveThenAttack,Nearest,0,
3002,0,KnownDamageUnknownRange,RangedLine,4,2,0,MoveThenAttack,Nearest,0,
3002,1,KnownDamageKnownRange,Fan,2,2,0,MoveThenAttack,Nearest,0,1;0
3003,0,KnownDamageUnknownRange,MeleeLine,3,2,0,MoveThenAttack,Nearest,0,
3003,1,KnownDamageKnownRange,Fan,2,2,0,MoveThenAttack,Nearest,0,1;0
3004,0,KnownDamageUnknownRange,RangedLine,5,2,0,MoveThenAttack,Nearest,0,
3004,1,KnownDamageUnknownRange,RangedLine,5,2,0,MoveThenAttack,Nearest,0,
3005,0,KnownDamageKnownRange,Fan,2,2,0,MoveThenAttack,Nearest,0,1;0
3005,1,KnownDamageUnknownRange,ThrowSingle,4,2,0,MoveThenAttack,ThrowAreaDense,1,
3006,0,KnownDamageKnownRange,ThrowSingle,4,1,0,MoveThenAttack,ThrowAreaDense,1,
3006,1,KnownDamageUnknownRange,Thrust,3,2,0,MoveThenAttack,ThrustNearestCollinear,0,
