CardId,CardName,CardType,EnergyCost,EffectType,EffectDesc,Params,CardKeyWord,ConditionParams
11002001,盾牌冲撞,Attack,1,ShieldSlam,额外造成你护盾点数的伤害,2,Retain,
11002002,奋力一击,Attack,2,ClearFirstNormalDebuff|Damage,攻击前解除自身的一个普通弱化效果，额外造成4点伤害,1;1|2;4,,
11002003,绝力一击,Attack,3,Damage,可以无限升级（每次升级额外伤害 ×1.2）,2;10,Retain|InfiniteUpgrade,
11002004,淬炼,Attack,2,Damage|UpgradePermanentCard,攻击，造成6点额外伤害，如果击杀目标，随机永久升级卡组中的一张牌，消耗,2;6|3;1;1,Exhaust,
11002005,攻守兼备,Attack,1,Damage|Shield,防御1次,2|1,,
11002006,横扫,Attack,1,Damage,攻击2次，攻击全体敌人，每次额外减少1点伤害,3;-1;2,,
11002007,致残打击,Attack,2,Damage|AddState,额外造成3点伤害，赋予2层易伤,2;3|2;1;2,,
11002008,迅捷打击,Attack,1,Damage|DrawCard,额外造成1点伤害，抽2张牌,2;1|1;2,,
11002009,紧咬不放,Attack,2,Damage|AddState,额外造成4点伤害，对敌人施加状态，当其对你造成战斗伤害时，进行反击，消耗,2;4|2;12;1,Exhaust,
11002010,死亡之舞,Attack,3,DamageByBattleLostHp,额外造成你本局战斗中失去生命数的伤害，本局战斗中每失去一次生命，该牌消耗能量值下降1点,2;0,,
21002001,预判,Skill,1,Shield|Shield|AddState,防御1次，额外获得1格挡，下回合开始时防御1次，额外获得1点格挡,1;1;1|1;1;1|1;10;1;2;1,,
21002002,未雨绸缪,Skill,2,Shield|AddState,防御2次，下回合获得2点能量,1;0;2|1;10;2;1;1,,
21002003,暂避锋芒,Skill,1,Shield|UpgradeBattleCard,防御，在本局游戏内升级一张手牌,1|1;1,,
21002004,矗立,Skill,2,Shield,防御，额外获得20点护盾，消耗,1;20;1,Exhaust,
21002005,鼓气,Skill,0,AddCost,全体友军获得1能量，消耗,5;1,Exhaust,
21002006,总攻,Skill,3,AddCost|Shield|DrawCard,所有友方单位获得2点能量，防御1次，抽2张牌，消耗,5;2|1|1;2,Exhaust,
21002007,大地,Skill,1,Shield|MirrorShieldToAllies,防御3次，全体友军获得等量护盾,1;0;3|5;0,,
21002008,强撑,Skill,0,AddCost|AddState,获得4点能量，本回合内你每打出一张牌，失去1点生命,1;4|1;17;1,,
21002009,蓄力,Skill,1,AddKeyword|AddKeyword,"为一张战斗牌添加“暴击”，这张牌在本回合保留，你在本回合内不能打出这张牌，打出该牌后，去掉附着的“暴击”",1;8;1|1;1;3,,
21002010,战术支援,Skill,1,DrawCard|DrawCard|AddState,抽3张牌，其他友军抽1张牌，本回合你不能再抽牌,1;3|5;1|1;19;1,,
21002011,统一战线,Skill,2,Shield|AddState,防御，额外获得6点格挡，所有友方单位本回合的下一张战斗牌可免费打出,1;6;1|5;20;1,,
21002012,到我身后！,Skill,1,RearrangeMonsterTargets,将所有敌人的单体行动意图目标指定为自己，每有一个敌人以自己为目标，防御1次,0,,
31002001,反攻号角,State,1,AddState,全体友军在2 回合内获得反击,1;4;2,,
31002002,旋风斩,State,1,AddState,你回合外的攻击会作用于所有敌人,1;5;1,,
31002003,勇气铠甲,State,0,AddState,本回合内，每打出战斗牌时，防御1次,1;9;1,,
31002004,阵地,State,2,AddState,回合开始时至多保留等同你当前生命值的护盾值,1;14;1,,
31002005,燃血,State,1,HpLoss|AddState,1 回合内，你每次生命减少时，获得 1 点攻击；失去 1 点生命,1;1|1;11;1,,
31002006,持盾防守,State,1,AddState|AddState,下回合开始前防御 +3，攻击 -1，且不能打出战斗牌,1;13;1|1;18;1,,NoBattleCardPlayedThisTurn
31002007,城墙,State,1,AddState,当你拥有护盾时，敌人的单体攻击仅会以你为目标（若多人拥有该状态，则目标为其中的随机一人）,1;15;1,,
31002008,蓄势待发,State,1,AddState,在本回合保留你的所有战斗牌，当你反击时，打出手牌中的第一张战斗牌作为替代,1;16;1,,
