id,Name,MAX_HP,Ini_Attack,Ini_Defend,Intention1,Intention2,Intention3,Intention4,Intention5,Intention6,Intention7,Intention8,Intention9,Intention10
3001,堕魔兽,5,1,1,1,2,,,,,,,,,
3002,法师学徒,15,2,2,1|1,2|2,,,,,,,,,
3003,堕魔守卫,30,3,3,1;2|1;2|1;2,2|2|2,,,,,,,,,
3004,诅咒弓手,16,3,1,1|3;2;1;2,2|1,,,,,,,,,
3005,狂热祭司,20,2,2,3;1;6;2|1,2|3;1;6;1,,,,,,,,,
3006,钢甲仆从,26,2,4,2|2|1,1|3;1;6;1,,,,,,,,,
3007,双刃猎手,18,4,2,1;2|1;2,1|3;2;1;1,,,,,,,,,
3101,小型符文史莱姆,9,3,1,1,3;0;1;1,,,,,,,,,
3102,符文残片兽,18,5,2,1,3;1;6;1,,,,,,,,,
3103,符文引导学徒,18,6,3,1,2;1,,,,,,,,,
3104,符文石卫,24,3,4,1,2;0,,,,,,,,,
3106,魔化驮兽,50,7,2,1,1;-2|2;5,,,,,,,,,
3107,惊惶投掷村民,10,2,0,1,1;-1|3;0;2;1,,,,,,,,,
3108,受侵蚀巡逻犬,14,4,1,1,2,,,,,,,,,
3109,哨站弩手,16,4,1,1,2,,,,,,,,,
3110,城卫见习兵,15,3,2,1,2,,,,,,,,,
3111,流寇刀手,20,5,1,1,1;1|2;3,,,,,,,,,
3112,流寇弩手,14,4,1,1,3;0;2;1,,,,,,,,,
3113,流寇头目,26,6,3,1,1;2|2;2,3;1;6;2,,,,,,,,
3114,雇佣剑客,120,18,4,1,1;-5|2;1|3;1;4;1,1;-3,,,,,,,,
3115,近战劫匪,20,4,1,1,1;-1,,,,,,,,,
3116,远程劫匪,16,3,2,1,2,,,,,,,,,
