卡牌名,费用,类型,等级,条件,关键词,效果,备注
预判,1能量,技能牌,B,,,防御1次，额外获得2格挡，下回合再次打出此牌,
未雨绸缪,2能量,技能牌,B,,,防御2次，下回合获得2点能量,
闪躲,1能量,技能牌,B,,,防御，额外获得1点格挡，抽2张牌,
暂避锋芒,1能量,技能牌,B,,,防御，升级一张手牌,太弱
战术支援,1能量,技能牌,B,,,抽3张牌，其他友军抽1张牌，本回合你不能再抽牌,
攻守兼备,1能量,战斗牌,B,,,防御1次,
横扫,1能量,战斗牌,B,,,攻击2次，攻击全体敌人，每次额外减少1点伤害,
奋力一击,2能量,战斗牌,B,,,攻击前解除自身的一个普通弱化效果，额外造成4点伤害,
致残打击,2能量,战斗牌,B,,,额外造成3点伤害，赋予2层易伤,
迅捷打击,1能量,战斗牌,B,,,额外造成1点伤害，抽2张牌,
强撑,0能量,技能牌,A,,,获得4点能量，本回合内你每打出一张牌，失去1点生命,
死亡之舞,3能量,战斗牌,A,,,额外造成你本局战斗中失去生命数的伤害，本局战斗中每失去一次生命，该牌消耗能量值下降1点,
鼓气,0能量,技能牌,A,,,全体友军获得1能量，消耗,
勇气铠甲,0能量,技能牌,A,,,本回合内，每打出战斗牌时，防御1次,
反攻号角,1 能量,状态牌,A,,,全体友军在2 回合内获得反击,
燃血,1 能量,状态牌,A,,,1 回合内，你每次生命减少时，获得 1 点攻击；失去 1 点生命,
蓄力,1能量,技能牌,A,,,为一张战斗牌添加“暴击”，这张牌在本回合保留，你在本回合内不能打出这张牌，打出该牌后，去掉附着的“暴击”,
紧咬不放,2能量,战斗牌,A,,,额外造成4点伤害，对敌人施加状态，当其对你造成战斗伤害时，进行反击，消耗,
持盾防守,1能量,状态牌,A,本回合没有打出战斗牌,,下回合开始前防御 +3，攻击 -1，且不能打出战斗牌,
到我身后！,1能量,技能牌,A,,,将所有敌人的单体行动意图目标指定为自己，每有一个敌人以自己为目标，防御1次,太强
大地,1能量,技能牌,A,,,防御3次，全体友军获得等量护盾,
统一战线,2能量,技能牌,A,,,防御，额外获得6点格挡，所有人本回合的下一张战斗牌可免费打出,
蓄势待发,1能量,状态牌,S,,,在本回合保留你的所有战斗牌，当你反击时，打出手牌中的第一张战斗牌作为替代,
绝力一击,3 能量,战斗牌,S,,保留,可以无限升级（每次升级额外伤害 ×1.2）,+15攻击
阵地,2能量,战斗牌,S,,,回合开始时至多保留等同你当前生命值的护盾值,
城墙,1 能量,状态牌,S,,,当你拥有护盾时，敌人的单体攻击仅会以你为目标,
旋风斩,1 能量,状态牌,S,,,你回合外的攻击会作用于所有敌人,
盾牌冲撞,1 能量,攻击牌,S,,保留,额外造成你护盾点数的伤害,
总攻,3能量,技能牌,S,,,所有友方单位获得2点能量，防御1次，抽2张牌，消耗,
淬炼,2能量,战斗牌,S,,,攻击，造成6点额外伤害，如果击杀目标，随机永久升级卡组中的一张牌，消耗,
矗立,2能量,技能牌,S,,,防御，额外获得20点护盾，消耗,
